关卡ID,关卡名称,难度定位,竞猜标题,选项1,赔率1,选项2,赔率2,选项3,赔率3,选项4,赔率4,选项5,赔率5
1,白菜人,新手教学,胜负,玩家胜利,1.15,玩家失败,5.0,,,,,,
1,白菜人,新手教学,中毒判定,被毒箭毒到,1.3,全程未中毒,3.5,,,,,,
1,白菜人,新手教学,无伤通关,完成无伤,4.0,受到伤害,1.25,,,,,,
1,白菜人,新手教学,首血归属,玩家先手,1.5,Boss先手,2.5,,,,,,
1,白菜人,新手教学,击杀方式,近战击杀,2.0,远程击杀,2.0,技能击杀,2.0,,,,
2,霸王龙,机动性考验,胜负,玩家胜利,1.35,玩家失败,3.0,,,,,,
2,霸王龙,机动性考验,践踏命中,被战争践踏命中,1.4,躲避所有践踏,3.0,,,,,,
2,霸王龙,机动性考验,震地重击,被震地重击命中,1.5,躲避震地重击,2.8,,,,,,
2,霸王龙,机动性考验,无伤通关,完成无伤,8.0,受到伤害,1.1,,,,,,
2,霸王龙,机动性考验,首血归属,玩家先手,1.6,Boss先手,2.4,,,,,,
3,地狱男爵,DOT规避,胜负,玩家胜利,1.50,玩家失败,2.5,,,,,,
3,地狱男爵,DOT规避,火圈灼烧,被火圈灼烧,1.3,从未被火圈灼烧,4.0,,,,,,
3,地狱男爵,DOT规避,熔岩喷发,被熔岩命中,1.4,躲避所有熔岩,3.5,,,,,,
3,地狱男爵,DOT规避,流星雨,被流星雨命中,1.4,躲避所有流星雨,3.5,,,,,,
3,地狱男爵,DOT规避,全程零火伤,达成零火焰伤害,15.0,受到火焰伤害,1.05,,,,,,
4,洛基,控制抵抗,胜负,玩家胜利,1.70,玩家失败,2.2,,,,,,
4,洛基,控制抵抗,魅惑命中,被魅惑控制,1.4,躲避所有魅惑,3.5,,,,,,
4,洛基,控制抵抗,分身识别,攻击到分身,1.3,从未攻击分身,4.5,,,,,,
4,洛基,控制抵抗,冰箭减速,被冰箭命中,1.4,躲避所有冰箭,3.5,,,,,,
4,洛基,控制抵抗,分身处理,先杀所有分身,2.2,无视分身击杀本体,3.0,分身存活时结束,1.8,,,,
5,假面骑士,爆发输出,胜负,玩家胜利,1.85,玩家失败,2.0,,,,,,
5,假面骑士,爆发输出,暗影飞矛,被暗影飞矛命中,1.4,躲避所有暗影飞矛,3.5,,,,,,
5,假面骑士,爆发输出,黑暗领域,进入过黑暗领域,1.3,从未进入黑暗领域,4.0,,,,,,
5,假面骑士,爆发输出,荆棘丛林,踩中荆棘丛林,1.4,躲避所有荆棘,3.2,,,,,,
5,假面骑士,爆发输出,首血归属,玩家先手,1.8,Boss先手,2.0,,,,,,
6,擎天柱,AOE清场,胜负,玩家胜利,2.00,玩家失败,1.85,,,,,,
6,擎天柱,AOE清场,隔离墙,被隔离墙困住,1.6,未被隔离墙困住,2.5,,,,,,
6,擎天柱,AOE清场,导弹打击,被导弹命中,1.5,躲避所有导弹,3.0,,,,,,
6,擎天柱,AOE清场,轰炸机空袭,被轰炸机命中,1.4,躲避所有轰炸,3.5,,,,,,
6,擎天柱,AOE清场,分身处理,击杀所有分身,2.5,无视分身击杀本体,3.0,分身存活时结束,1.7,,,,
7,春丽,生存防御,胜负,玩家胜利,2.20,玩家失败,1.70,,,,,,
7,春丽,生存防御,旋风斩,被旋风斩命中,1.3,躲避所有旋风斩,4.0,,,,,,
7,春丽,生存防御,炎刃灼烧,被炎刃斩灼烧,1.4,从未被灼烧,3.5,,,,,,
7,春丽,生存防御,连击承受,承受完整连击,1.5,打断连击,2.8,,,,,,
7,春丽,生存防御,首血归属,玩家先手,2.2,Boss先手,1.7,,,,,,
8,春野樱,持续DPS,胜负,玩家胜利,2.50,玩家失败,1.55,,,,,,
8,春野樱,持续DPS,单体回血,成功打断回血,3.5,未能打断回血,1.4,,,,,,
8,春野樱,持续DPS,隔离墙,被隔离墙困住,1.6,未被隔离墙困住,2.5,,,,,,
8,春野樱,持续DPS,恢复光环,Boss触发恢复光环,1.3,Boss未触发光环,4.0,,,,,,
8,春野樱,持续DPS,吸血技能,Boss使用吸血,1.4,Boss未使用吸血,3.5,,,,,,
9,电锯惊魂,移动闪避,胜负,玩家胜利,3.00,玩家失败,1.40,,,,,,
9,电锯惊魂,移动闪避,普通陷阱,踩中陷阱,1.3,躲避所有陷阱,4.0,,,,,,
9,电锯惊魂,移动闪避,毒瓶陷阱,踩中毒瓶陷阱,1.5,躲避毒瓶陷阱,2.8,,,,,,
9,电锯惊魂,移动闪避,时空陷阱,踩中时空陷阱,1.8,躲避时空陷阱,2.2,,,,,,
9,电锯惊魂,移动闪避,眩晕弹,被眩晕弹定身,1.4,躲避所有眩晕弹,3.5,,,,,,
10,埃及艳后,综合考验,胜负,玩家胜利,4.00,玩家失败,1.25,,,,,,
10,埃及艳后,综合考验,时间停滞,被时间停滞控制,1.3,未被时间停滞,4.5,,,,,,
10,埃及艳后,综合考验,分身识别,攻击到分身,1.3,从未攻击分身,5.0,,,,,,
10,埃及艳后,综合考验,幽灵军团,被幽灵军团命中,1.4,躲避幽灵军团,3.5,,,,,,
10,埃及艳后,综合考验,黑洞吸引,被黑洞吸入,1.5,躲避所有黑洞,3.0,,,,,,
